iStep Time x y z Wx Wy Wz
       120  3.00000E+00  1.55862E+00  1.66766E+00  1.60000E+00  1.22614E-01  4.83364E-01  0.00000E+00
       121  3.02500E+00  1.56368E+00  1.67760E+00  1.60000E+00  2.26380E-01  4.44326E-01  0.00000E+00
       122  3.05000E+00  1.57082E+00  1.68618E+00  1.60000E+00  3.18962E-01  3.83333E-01  0.00000E+00
       123  3.07500E+00  1.57967E+00  1.69297E+00  1.60000E+00  3.95790E-01  3.03395E-01  0.00000E+00
       124  3.10000E+00  1.58981E+00  1.69763E+00  1.60000E+00  4.53063E-01  2.08458E-01  0.00000E+00
       125  3.12500E+00  1.60073E+00  1.69994E+00  1.60000E+00  4.87934E-01  1.03204E-01  0.00000E+00
       126  3.15000E+00  1.61188E+00  1.69978E+00  1.60000E+00  4.98644E-01 -7.16260E-03  0.00000E+00
       127  3.17500E+00  1.62273E+00  1.69716E+00  1.60000E+00  4.84686E-01 -1.17161E-01  0.00000E+00
       128  3.20000E+00  1.63272E+00  1.69220E+00  1.60000E+00  4.46781E-01 -2.21344E-01  0.00000E+00
       129  3.22500E+00  1.64138E+00  1.68517E+00  1.60000E+00  3.86804E-01 -3.14571E-01  0.00000E+00
       130  3.25000E+00  1.64826E+00  1.67639E+00  1.60000E+00  3.07721E-01 -3.92248E-01  0.00000E+00
       131  3.27500E+00  1.65304E+00  1.66631E+00  1.60000E+00  2.13440E-01 -4.50538E-01  0.00000E+00
       132  3.30000E+00  1.65547E+00  1.65542E+00  1.60000E+00  1.08608E-01 -4.86561E-01  0.00000E+00
       133  3.32500E+00  1.65543E+00  1.64427E+00  1.60000E+00 -1.59465E-03 -4.98528E-01  0.00000E+00
       134  3.35000E+00  1.65293E+00  1.63340E+00  1.60000E+00 -1.11717E-01 -4.85839E-01  0.00000E+00
       135  3.37500E+00  1.64809E+00  1.62335E+00  1.60000E+00 -2.16312E-01 -4.49141E-01  0.00000E+00
       136  3.40000E+00  1.64115E+00  1.61462E+00  1.60000E+00 -3.10207E-01 -3.90249E-01  0.00000E+00
       137  3.42500E+00  1.63245E+00  1.60764E+00  1.60000E+00 -3.88772E-01 -3.12068E-01  0.00000E+00
       138  3.45000E+00  1.62243E+00  1.60275E+00  1.60000E+00 -4.48131E-01 -2.18464E-01  0.00000E+00
       139  3.47500E+00  1.61157E+00  1.60020E+00  1.60000E+00 -4.85348E-01 -1.14057E-01  0.00000E+00
       140  3.50000E+00  1.60041E+00  1.60011E+00  1.60000E+00 -4.98571E-01 -3.99549E-03  0.00000E+00
       141  3.52500E+00  1.58951E+00  1.60249E+00  1.60000E+00 -4.87109E-01  1.06275E-01  0.00000E+00
       142  3.55000E+00  1.57941E+00  1.60721E+00  1.60000E+00 -4.51542E-01  2.11277E-01  0.00000E+00
       143  3.57500E+00  1.57060E+00  1.61406E+00  1.60000E+00 -3.93658E-01  3.05813E-01  0.00000E+00
       144  3.60000E+00  1.56353E+00  1.62267E+00  1.60000E+00 -3.16325E-01  3.85221E-01  0.00000E+00
       145  3.62500E+00  1.55853E+00  1.63264E+00  1.60000E+00 -2.23370E-01  4.45585E-01  0.00000E+00
       146  3.65000E+00  1.55586E+00  1.64347E+00  1.60000E+00 -1.19386E-01  4.83926E-01  0.00000E+00
       147  3.67500E+00  1.55564E+00  1.65462E+00  1.60000E+00 -9.49892E-03  4.98342E-01  0.00000E+00
       148  3.70000E+00  1.55790E+00  1.66554E+00  1.60000E+00  1.00858E-01  4.88109E-01  0.00000E+00
       149  3.72500E+00  1.56251E+00  1.67570E+00  1.60000E+00  2.06222E-01  4.53753E-01  0.00000E+00
       150  3.75000E+00  1.56926E+00  1.68458E+00  1.60000E+00  3.01394E-01  3.96972E-01  0.00000E+00
       151  3.77500E+00  1.57780E+00  1.69175E+00  1.60000E+00  3.81677E-01  3.20569E-01  0.00000E+00
       152  3.80000E+00  1.58771E+00  1.69686E+00  1.60000E+00  4.43099E-01  2.28316E-01  0.00000E+00
       153  3.82500E+00  1.59851E+00  1.69965E+00  1.60000E+00  4.82612E-01  1.24764E-01  0.00000E+00
       154  3.85000E+00  1.60966E+00  1.69999E+00  1.60000E+00  4.98230E-01  1.50313E-02  0.00000E+00
       155  3.87500E+00  1.62060E+00  1.69785E+00  1.60000E+00  4.89183E-01 -9.54375E-02  0.00000E+00
       156  3.90000E+00  1.63081E+00  1.69335E+00  1.60000E+00  4.55958E-01 -2.01163E-01  0.00000E+00
       157  3.92500E+00  1.63976E+00  1.68671E+00  1.60000E+00  4.00204E-01 -2.96926E-01  0.00000E+00
       158  3.95000E+00  1.64703E+00  1.67825E+00  1.60000E+00  3.24678E-01 -3.78006E-01  0.00000E+00
       159  3.97500E+00  1.65224E+00  1.66839E+00  1.60000E+00  2.33112E-01 -4.40399E-01  0.00000E+00
       160  4.00000E+00  1.65515E+00  1.65763E+00  1.60000E+00  1.30022E-01 -4.81020E-01  0.00000E+00
       161  4.02500E+00  1.65561E+00  1.64649E+00  1.60000E+00  2.05028E-02 -4.97857E-01  0.00000E+00
       162  4.05000E+00  1.65360E+00  1.63553E+00  1.60000E+00 -9.00310E-02 -4.90065E-01  0.00000E+00
       163  4.07500E+00  1.64921E+00  1.62528E+00  1.60000E+00 -1.96108E-01 -4.58047E-01  0.00000E+00
       164  4.10000E+00  1.64266E+00  1.61625E+00  1.60000E+00 -2.92481E-01 -4.03390E-01  0.00000E+00
       165  4.12500E+00  1.63428E+00  1.60889E+00  1.60000E+00 -3.74394E-01 -3.28792E-01  0.00000E+00
       166  4.15000E+00  1.62449E+00  1.60357E+00  1.60000E+00 -4.37806E-01 -2.37942E-01  0.00000E+00
       167  4.17500E+00  1.61376E+00  1.60054E+00  1.60000E+00 -4.79582E-01 -1.35325E-01  0.00000E+00
       168  4.20000E+00  1.60262E+00  1.59996E+00  1.60000E+00 -4.97649E-01 -2.60034E-02  0.00000E+00
       169  4.22500E+00  1.59163E+00  1.60185E+00  1.60000E+00 -4.91080E-01  8.46185E-02  0.00000E+00
       170  4.25000E+00  1.58134E+00  1.60613E+00  1.60000E+00 -4.60196E-01  1.91046E-01  0.00000E+00
       171  4.27500E+00  1.57224E+00  1.61257E+00  1.60000E+00 -4.06560E-01  2.88006E-01  0.00000E+00
       172  4.30000E+00  1.56479E+00  1.62087E+00  1.60000E+00 -3.32833E-01  3.70712E-01  0.00000E+00
       173  4.32500E+00  1.55936E+00  1.63060E+00  1.60000E+00 -2.42664E-01  4.35086E-01  0.00000E+00
       174  4.35000E+00  1.55622E+00  1.64130E+00  1.60000E+00 -1.40511E-01  4.77951E-01  0.00000E+00
       175  4.37500E+00  1.55551E+00  1.65242E+00  1.60000E+00 -3.14118E-02  4.97185E-01  0.00000E+00
       176  4.40000E+00  1.55729E+00  1.66343E+00  1.60000E+00  7.92430E-02  4.91822E-01  0.00000E+00
       177  4.42500E+00  1.56145E+00  1.67377E+00  1.60000E+00  1.85974E-01  4.62143E-01  0.00000E+00
       178  4.45000E+00  1.56779E+00  1.68294E+00  1.60000E+00  2.83510E-01  4.09622E-01  0.00000E+00
       179  4.47500E+00  1.57601E+00  1.69047E+00  1.60000E+00  3.67037E-01  3.36849E-01  0.00000E+00
       180  4.50000E+00  1.58568E+00  1.69601E+00  1.60000E+00  4.32424E-01  2.47419E-01  0.00000E+00
       181  4.52500E+00  1.59634E+00  1.69927E+00  1.60000E+00  4.76429E-01  1.45745E-01  0.00000E+00
       182  4.55000E+00  1.60746E+00  1.70010E+00  1.60000E+00  4.96848E-01  3.68498E-02  0.00000E+00
       183  4.57500E+00  1.61849E+00  1.69844E+00  1.60000E+00  4.92656E-01 -7.38656E-02  0.00000E+00
